score,params,iterations
0.9977837642330906,"{'eta': 0.06379359441247977, 'lambda': 0.16204141959350374, 'alpha': 0.1634523422756264, 'gamma': 12.522778962395542, 'max_depth': 4, 'subsample': 0.8631105993310548, 'colsample_bytree': 0.8964987479438999, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.1054899019991038}",29
0.9984929978581831,"{'eta': 0.12535977965991643, 'lambda': 0.08334875348772429, 'alpha': 0.11828318298652098, 'gamma': 5.909110048016048, 'max_depth': 13, 'subsample': 0.9759514347541913, 'colsample_bytree': 0.8442179196720077, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9348558876163379}",30
0.9979331142967313,"{'eta': 0.06185472428469403, 'lambda': 0.12759438998718545, 'alpha': 0.06681747291554112, 'gamma': 18.98734062258663, 'max_depth': 11, 'subsample': 0.7247828047085882, 'colsample_bytree': 0.6845974638576082, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.031512165618328}",31
0.9977705698298586,"{'eta': 0.5322683633432809, 'lambda': 0.03130442986071858, 'alpha': 0.09994218984188101, 'gamma': 8.834255820533215, 'max_depth': 10, 'subsample': 0.5119786244462833, 'colsample_bytree': 0.6474505729552933, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.0227768463352263}",32
0.9977665017164246,"{'eta': 0.5141388939783083, 'lambda': 0.06853431262447238, 'alpha': 0.04786949039621301, 'gamma': 17.54232507256933, 'max_depth': 10, 'subsample': 0.7112440084332361, 'colsample_bytree': 0.9513587210737497, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.944890102613063}",33
0.9983633212103424,"{'eta': 0.3046439239212775, 'lambda': 0.04708355497944429, 'alpha': 0.07621662710144524, 'gamma': 5.354225398949102, 'max_depth': 12, 'subsample': 0.9592753575173081, 'colsample_bytree': 0.9936434002936771, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.0187134750551259}",34
0.9976683101070751,"{'eta': 0.3773289242412743, 'lambda': 0.07428475561931104, 'alpha': 0.13565154127728946, 'gamma': 16.621210985409128, 'max_depth': 4, 'subsample': 0.9092297651905777, 'colsample_bytree': 0.5093195760054352, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9683714707290763}",35
0.9979382585410266,"{'eta': 0.45632664240525644, 'lambda': 0.03123618043298332, 'alpha': 0.02147944448341221, 'gamma': 8.94680778580378, 'max_depth': 8, 'subsample': 0.9313888906153759, 'colsample_bytree': 0.7660395967846518, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9809077444807962}",36
0.9987743581278223,"{'eta': 0.04218102577876563, 'lambda': 0.07314480556578744, 'alpha': 0.16847719363993527, 'gamma': 2.777432343987718, 'max_depth': 13, 'subsample': 0.9659334022938243, 'colsample_bytree': 0.6634970890418102, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9291615704079811}",37
0.9980168680846593,"{'eta': 0.23327705052906839, 'lambda': 0.08984558167714804, 'alpha': 0.019467833202677885, 'gamma': 11.371734269689133, 'max_depth': 9, 'subsample': 0.7427805943791096, 'colsample_bytree': 0.5169758091171492, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.8650019959948675}",38
0.9977606493242878,"{'eta': 0.3788538024929346, 'lambda': 0.13896499340416477, 'alpha': 0.010375270222920235, 'gamma': 15.615423399036082, 'max_depth': 7, 'subsample': 0.5067477737675423, 'colsample_bytree': 0.9510987411142292, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9212322683833291}",39
0.9980248900640442,"{'eta': 0.20868407055496133, 'lambda': 0.06133189708026934, 'alpha': 0.13986544942186366, 'gamma': 6.214361026218427, 'max_depth': 3, 'subsample': 0.5055916551654953, 'colsample_bytree': 0.811070281800906, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9827034054222928}",40
0.9980183894509201,"{'eta': 0.06329670552001813, 'lambda': 0.13453102831058317, 'alpha': 0.13732665146541242, 'gamma': 4.863284197556343, 'max_depth': 4, 'subsample': 0.9688035556443388, 'colsample_bytree': 0.858039438718387, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.1877705203155275}",41
0.9978736997534507,"{'eta': 0.4747554615322593, 'lambda': 0.06285001766520205, 'alpha': 0.0761851771127904, 'gamma': 10.675465405731543, 'max_depth': 10, 'subsample': 0.5989256650614496, 'colsample_bytree': 0.8089041756896367, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.043332421691455}",42
0.997815861335388,"{'eta': 0.2517297778787004, 'lambda': 0.1334637697279289, 'alpha': 0.028009489529094652, 'gamma': 9.687377446865412, 'max_depth': 3, 'subsample': 0.8107192809573557, 'colsample_bytree': 0.9715782503694945, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.8720133597879389}",43
0.9533696848485714,"{'eta': 0.014283457150830898, 'lambda': 0.04966549494714318, 'alpha': 0.14518758155616157, 'gamma': 8.88679925926316, 'max_depth': 3, 'subsample': 0.5639423642014283, 'colsample_bytree': 0.6324519860780999, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9378071953802006}",44
0.9982822260522279,"{'eta': 0.24328280637350042, 'lambda': 0.017999602769511756, 'alpha': 0.1124732779177091, 'gamma': 2.819498273553087, 'max_depth': 7, 'subsample': 0.9173307694299394, 'colsample_bytree': 0.9683053606010769, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.0105993686335957}",45
0.9980318277939231,"{'eta': 0.4404100214301412, 'lambda': 0.13328768620772727, 'alpha': 0.019315648188139172, 'gamma': 3.677851460853867, 'max_depth': 5, 'subsample': 0.66736605905678, 'colsample_bytree': 0.7021613232955213, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.8394462284118335}",46
0.9978486620545652,"{'eta': 0.19125330296944182, 'lambda': 0.18519389971420208, 'alpha': 0.08422044445895029, 'gamma': 15.913781975507359, 'max_depth': 7, 'subsample': 0.6877963471308198, 'colsample_bytree': 0.7700293264355988, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9186283070155702}",47
0.9984636544677571,"{'eta': 0.28346872916658755, 'lambda': 0.028141263326626264, 'alpha': 0.1424050940676996, 'gamma': 4.991860241467858, 'max_depth': 14, 'subsample': 0.9751744952176851, 'colsample_bytree': 0.8136079659778065, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9671714635835116}",48
0.9981967974316561,"{'eta': 0.12122908755608726, 'lambda': 0.09306274871632858, 'alpha': 0.06034713300987522, 'gamma': 3.6429419047937794, 'max_depth': 6, 'subsample': 0.9904178231593025, 'colsample_bytree': 0.7193626281209885, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.843348496982682}",49
0.9983305734551697,"{'eta': 0.09411586473955369, 'lambda': 0.14184015541154754, 'alpha': 0.14763152496682103, 'gamma': 3.858015077019026, 'max_depth': 7, 'subsample': 0.59497492220366, 'colsample_bytree': 0.5333418380105412, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 1.0319429380066645}",50
0.9979736375220444,"{'eta': 0.47801214544381737, 'lambda': 0.028744107202127302, 'alpha': 0.19698073016875192, 'gamma': 8.068333488353039, 'max_depth': 8, 'subsample': 0.8707204348089319, 'colsample_bytree': 0.7554392369116132, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'min_child_weight': 0.9552181873702306}",51
